task,target_openout,resource_budget,method,n_seeds,semantic_goodput_mean,semantic_goodput_std,semantic_goodput_ci95,accepted_open_outage_mean,accepted_open_outage_std,accepted_open_outage_ci95,coverage_mean,coverage_std,coverage_ci95,accepted_known_accuracy_mean,accepted_known_accuracy_std,accepted_known_accuracy_ci95,accepted_mean,accepted_std,accepted_ci95,resource_per_sample_mean,resource_per_sample_std,resource_per_sample_ci95,goodput_per_resource_mean,goodput_per_resource_std,goodput_per_resource_ci95,refine_rate_mean,refine_rate_std,refine_rate_ci95,reject_rate_mean,reject_rate_std,reject_rate_ci95,accuracy_mean,accuracy_std,accuracy_ci95,auroc_mean,auroc_std,auroc_ci95,fpr95_mean,fpr95_std,fpr95_ci95
full-open,0.05,0.45,ensemble_detector,5,0.3747767857142857,0.016859698750697944,0.014778177534797722,0.0030492751182406358,0.0038918741281005176,0.0034113780832397485,0.37589285714285714,0.016045831550290757,0.0140647914799687,0.9969507248817594,0.0038918741281005038,0.0034113780832397364,336.8,14.377065069060514,12.60205316605195,0.5134821428571428,0.01765041470531981,0.015471270627965546,0.7296562738277023,0.008245832963437278,0.00722779127064288,0.0,0.0,0.0,0.6241071428571427,0.016045831550290733,0.014064791479968678,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.45,fixed_refine_all,5,0.27321428571428574,0.019625093428868985,0.01720215284492031,0.0007874015748031496,0.0017606834468502281,0.0015433070866141731,0.2734375,0.019761083939314472,0.017321353782975505,0.9992125984251968,0.0017606834468502249,0.0015433070866141703,245.0,17.705931209625774,15.519932989546056,0.51015625,0.02964162590897171,0.025982030674463256,0.5351864735523488,0.007883497928810561,0.006910190609565291,0.0,0.0,0.0,0.7265625000000001,0.019761083939314514,0.017321353782975536,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.45,opensemcom_no_channel,5,0.3776785714285714,0.005270410246927507,0.004619718267925012,0.002965907083554142,0.00297244340394003,0.0026054615201084627,0.3787946428571428,0.004436296186239251,0.0038885850575755797,0.9970340929164457,0.0029724434039400185,0.002605461520108453,339.4,3.9749213828703582,3.4841722115877105,0.5166741071428571,0.004879925804863201,0.00427744356333316,0.7309561226636384,0.003551087276224946,0.0031126652371200325,0.0,0.0,0.0,0.6212053571428572,0.004436296186239234,0.003888585057575566,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.05,0.45,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
full-open,0.05,0.45,opensemcom_receiver_only,5,0.3774553571428571,0.008907620508587002,0.00780787363018894,0.002948660954703251,0.0029377555492855947,0.0025750562749160904,0.37857142857142856,0.00887259237247849,0.007777170115151151,0.9970513390452969,0.0029377555492855856,0.0025750562749160826,339.2,7.9498427657407165,6.968344423175421,0.5164285714285713,0.009759851609726321,0.008554887126666251,0.7308455971166119,0.003972067029927908,0.0034816702609209616,0.0,0.0,0.0,0.6214285714285714,0.00887259237247846,0.007777170115151124,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.05,0.45,witt_context_style,5,0.32142857142857145,0.011160714285714284,0.009782797401561577,0.0014067096837993523,0.0019270542701685725,0.0016891375430158437,0.321875,0.010923825270751914,0.00957515502485468,0.9985932903162006,0.001927054270168563,0.0016891375430158355,288.4,9.787747442593725,8.5793389022698,0.5184375,0.014200972851977498,0.012447701532311091,0.6198969078783214,0.0046041911768558074,0.004035751505518902,0.0,0.0,0.0,0.678125,0.01092382527075196,0.009575155024854719,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.6,deepjscc_pca,5,0.018973214285714284,0.042425396894527255,0.03718749999999999,0.004597701149425287,0.01028077231034386,0.009011494252873562,0.019419642857142858,0.043423641527339664,0.0380625,0.19540229885057472,0.4369328231896141,0.3829885057471264,17.4,38.90758280849634,34.104,0.11165178571428572,0.026054184916403805,0.0228375,0.11988716502115655,0.26807585061704103,0.2349788434414668,0.0,0.0,0.0,0.9805803571428571,0.04342364152733967,0.038062500000000006,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.05,0.6,dino_detector,5,0.3723214285714286,0.011065441569594131,0.009699287183860462,0.008846540010828652,0.007148295057228871,0.006265756879106285,0.3756696428571429,0.011905924422405878,0.010436002886641989,0.9911534599891713,0.007148295057228861,0.006265756879106277,336.6,10.667708282475669,9.350658586431223,0.4381026785714285,0.010715331980165289,0.00939240259797779,0.8497725836821776,0.0070092300231251355,0.006143861002242968,0.0,0.0,0.0,0.6243303571428571,0.011905924422405888,0.010436002886641997,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.05,0.6,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.6,fixed_refine_all,5,0.37544642857142857,0.010337978729383393,0.009061637890028482,0.0023793495827294374,0.0025401455114761285,0.0022265357102694253,0.3763392857142857,0.010210681260252397,0.008950056738646971,0.9976206504172704,0.0025401455114761437,0.0022265357102694387,337.2,9.148770409186143,8.019250837827682,0.6645089285714286,0.015316021890378603,0.013425085107970464,0.564952482154278,0.002874292143092918,0.002519428146706532,0.0,0.0,0.0,0.6236607142857142,0.010210681260252387,0.008950056738646963,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.6,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.05,0.6,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
full-open,0.05,0.6,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.05,0.6,witt_context_style,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.6577232142857143,0.00843516714726479,0.007393749999999962,0.6411299492446813,0.005190736697668416,0.004549881322841426,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.8,deepjscc_pca,5,0.018973214285714284,0.042425396894527255,0.03718749999999999,0.004597701149425287,0.01028077231034386,0.009011494252873562,0.019419642857142858,0.043423641527339664,0.0380625,0.19540229885057472,0.4369328231896141,0.3829885057471264,17.4,38.90758280849634,34.104,0.11165178571428572,0.026054184916403805,0.0228375,0.11988716502115655,0.26807585061704103,0.2349788434414668,0.0,0.0,0.0,0.9805803571428571,0.04342364152733967,0.038062500000000006,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.05,0.8,dino_detector,5,0.3723214285714286,0.011065441569594131,0.009699287183860462,0.008846540010828652,0.007148295057228871,0.006265756879106285,0.3756696428571429,0.011905924422405878,0.010436002886641989,0.9911534599891713,0.007148295057228861,0.006265756879106277,336.6,10.667708282475669,9.350658586431223,0.4381026785714285,0.010715331980165289,0.00939240259797779,0.8497725836821776,0.0070092300231251355,0.006143861002242968,0.0,0.0,0.0,0.6243303571428571,0.011905924422405888,0.010436002886641997,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.05,0.8,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.8,fixed_refine_all,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.7435267857142857,0.00973288516992098,0.008531250000000016,0.5671455554254244,0.004736846553031754,0.004152029069493309,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,0.8,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.05,0.8,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
full-open,0.05,0.8,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.05,0.8,witt_context_style,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.6577232142857143,0.00843516714726479,0.007393749999999962,0.6411299492446813,0.005190736697668416,0.004549881322841426,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,1.0,deepjscc_pca,5,0.018973214285714284,0.042425396894527255,0.03718749999999999,0.004597701149425287,0.01028077231034386,0.009011494252873562,0.019419642857142858,0.043423641527339664,0.0380625,0.19540229885057472,0.4369328231896141,0.3829885057471264,17.4,38.90758280849634,34.104,0.11165178571428572,0.026054184916403805,0.0228375,0.11988716502115655,0.26807585061704103,0.2349788434414668,0.0,0.0,0.0,0.9805803571428571,0.04342364152733967,0.038062500000000006,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.05,1.0,dino_detector,5,0.3723214285714286,0.011065441569594131,0.009699287183860462,0.008846540010828652,0.007148295057228871,0.006265756879106285,0.3756696428571429,0.011905924422405878,0.010436002886641989,0.9911534599891713,0.007148295057228861,0.006265756879106277,336.6,10.667708282475669,9.350658586431223,0.4381026785714285,0.010715331980165289,0.00939240259797779,0.8497725836821776,0.0070092300231251355,0.006143861002242968,0.0,0.0,0.0,0.6243303571428571,0.011905924422405888,0.010436002886641997,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.05,1.0,ensemble_detector,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.016522280121977772,0.01094250013324631,0.009591524263561788,0.42879464285714286,0.006761219299491494,0.005926470018063023,0.9834777198780221,0.010942500133246318,0.009591524263561794,384.2,6.058052492344384,5.310117136184474,0.5716741071428572,0.007437341229440634,0.006519117019869318,0.7376368515348621,0.00624286134788478,0.005472109240406722,0.0,0.0,0.0,0.5712053571428571,0.006761219299491519,0.0059264700180630455,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,1.0,fixed_refine_all,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.7435267857142857,0.00973288516992098,0.008531250000000016,0.5671455554254244,0.004736846553031754,0.004152029069493309,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.05,1.0,opensemcom_no_channel,5,0.42276785714285714,0.0024195851996293358,0.0021208599376196483,0.013512460081120314,0.006158689281090809,0.005398329170848796,0.42857142857142855,0.0035293277457236513,0.0030935921676911574,0.9864875399188797,0.006158689281090822,0.005398329170848808,384.0,3.1622776601683795,2.7718585822512662,0.5714285714285714,0.003882260520296014,0.0034029513844602705,0.7398560148351792,0.0039164705709662595,0.0034329378159947245,0.0,0.0,0.0,0.5714285714285714,0.0035293277457236253,0.0030935921676911345,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.05,1.0,opensemcom_progressive,5,0.4245535714285714,0.0028013170531274675,0.002455462660070383,0.01896845209107561,0.010696976096032648,0.009376312956132372,0.4328125,0.006333152213888885,0.005551252673946663,0.9810315479089244,0.010696976096032654,0.009376312956132378,387.8,5.674504383644443,4.973922395856212,0.49267857142857147,0.009379184334062377,0.00822121754783011,0.8618955207217229,0.011419925986463339,0.010010006475069359,0.004241071428571429,0.007250170432549873,0.006355054582771103,0.5671875,0.006333152213888891,0.005551252673946668,0.8618303571428572,0.24291211956514777,0.212921860667241,0.9980025460268476,0.0009281405520899826,0.0008135510639217751,0.0036594748896292676,0.002981188567187707,0.0026131269936709492
full-open,0.05,1.0,opensemcom_receiver_only,5,0.421875,0.003156726701725672,0.002766992952647343,0.016061303298874403,0.008546636123339777,0.007491456865491263,0.4287946428571428,0.005657942792694889,0.004959405521330142,0.9839386967011257,0.00854663612333975,0.007491456865491239,384.2,5.06951674225463,4.443627347111817,0.5716741071428573,0.006223737071964404,0.00545534607346318,0.7379964416144229,0.005051980693101477,0.00442825632231023,0.0,0.0,0.0,0.5712053571428571,0.005657942792694914,0.004959405521330164,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.05,1.0,witt_context_style,5,0.4216517857142857,0.002146806256882972,0.0018817586521655831,0.017048588563853495,0.010142221118487525,0.008890048778598645,0.4290178571428571,0.006488590113280628,0.0056874999999999894,0.9829514114361464,0.010142221118487553,0.00889004877859867,384.4,5.813776741499453,5.095999999999999,0.6577232142857143,0.00843516714726479,0.007393749999999962,0.6411299492446813,0.005190736697668416,0.004549881322841426,0.0,0.0,0.0,0.5709821428571428,0.006488590113280668,0.005687500000000024,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.1,0.3,deepjscc_pca,5,0.11428571428571425,0.02447226798868883,0.02145088867622971,0.02494231083879194,0.018664662000466275,0.01636029757995912,0.1171875,0.024856090905491172,0.021787324296480285,0.975057689161208,0.018664662000466282,0.01636029757995913,105.0,22.271057451320086,19.52144256964633,0.1703125,0.014913654543294705,0.01307239457788817,0.665033703212935,0.08639486674607279,0.07572843962089189,0.0,0.0,0.0,0.8828125,0.024856090905491172,0.021787324296480285,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.1,0.3,dino_detector,5,0.2694196428571428,0.014839973338030945,0.01300781015390369,0.006447991263984774,0.005925773982070242,0.005194169909737802,0.27120535714285715,0.015684675583208924,0.013748224317161835,0.9935520087360153,0.00592577398207025,0.00519416990973781,243.0,14.053469322555197,12.318408988177003,0.34408482142857144,0.014116208024888038,0.012373401885445655,0.7826492632568361,0.011559428873888396,0.010132286147290611,0.0,0.0,0.0,0.7287946428571429,0.015684675583208924,0.013748224317161835,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.1,0.3,ensemble_detector,5,0.21160714285714283,0.015676731963766406,0.013741261427721977,0.0010471204188481676,0.0023414324371725547,0.0020523560209424084,0.2118303571428571,0.015692615181582856,0.013755183681979671,0.9989528795811518,0.002341432437172532,0.002052356020942389,189.8,14.060583202698243,12.32464457905379,0.3330133928571429,0.01726187669974114,0.015130702050177637,0.6348548446118918,0.013965789343336681,0.012241554097808043,0.0,0.0,0.0,0.788169642857143,0.015692615181582853,0.01375518368197967,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.1,0.3,fixed_refine_all,5,0.15848214285714288,0.014827377517395568,0.012996769430323836,0.0013698630136986301,0.0030631068184928624,0.002684931506849315,0.15870535714285716,0.01489861303211183,0.013059210112024391,0.9986301369863014,0.003063106818492875,0.0026849315068493257,142.2,13.349157276772193,11.70105226037385,0.3380580357142857,0.02234791954816774,0.019588815168036584,0.4681016694129087,0.013309331625959781,0.011666143538287677,0.0,0.0,0.0,0.8412946428571428,0.014898613032111804,0.01305921011202437,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.1,0.3,opensemcom_no_channel,5,0.21696428571428572,0.012957968994374987,0.011358160612528766,0.0030563071769101917,0.004575499183920544,0.004010601864846529,0.21763392857142855,0.01301551762242254,0.01140860420910463,0.9969436928230898,0.004575499183920532,0.00401060186484652,195.0,11.661903789690601,10.222109371357753,0.33939732142857143,0.014317069384664793,0.012549464630015092,0.6388902576551023,0.011369124863611184,0.009965477327569312,0.0,0.0,0.0,0.7823660714285714,0.013015517622422538,0.011408604209104629,0.428125,0.0006112974972155698,0.000535825881233805,0.9985552949252895,0.0012047298191476409,0.0010559922458929798,0.001043026544821584,0.0014282249398182908,0.0012518943566169438
full-open,0.1,0.3,opensemcom_progressive,5,0.28437500000000004,0.010511236319617076,0.009213504863785566,0.0023809523809523807,0.003549314249999666,0.0031111111111111105,0.28504464285714287,0.010155636755426202,0.008901808102851929,0.9976190476190476,0.0035493142499996534,0.0031111111111110997,255.4,9.09945053286186,7.9760200601553155,0.3565401785714285,0.00914007307988356,0.008011627292566718,0.7974141942462156,0.009227766748391309,0.008088494182126746,0.0,0.0,0.0,0.7149553571428571,0.010155636755426167,0.0089018081028519,0.8618303571428572,0.2422600080728959,0.21235025974201208,0.9967720657442888,0.0019201829067966732,0.0016831145274615576,0.007838423346559487,0.0026315445045468878,0.0023066504600092754
full-open,0.1,0.3,opensemcom_receiver_only,5,0.21875,0.01418333150350316,0.012432238208584965,0.0019658986620296574,0.0026922561430495814,0.0023598665574905025,0.21919642857142857,0.01447884931502655,0.012691270991315248,0.9980341013379703,0.002692256143049575,0.002359866557490497,196.4,12.973048986263793,11.371378808218465,0.34111607142857137,0.015926734246529194,0.013960398090446762,0.6408181026435693,0.012402989448226062,0.010871699591934863,0.0,0.0,0.0,0.7808035714285715,0.014478849315026533,0.012691270991315232,0.428125,0.0006112974972155698,0.000535825881233805,0.9984208272340114,0.0011904788001993914,0.0010435006770231458,0.0015625,0.002329237476562281,0.0020416666666666665
full-open,0.1,0.3,witt_context_style,5,0.15848214285714288,0.014827377517395568,0.012996769430323836,0.0013698630136986301,0.0030631068184928624,0.002684931506849315,0.15870535714285716,0.01489861303211183,0.013059210112024391,0.9986301369863014,0.003063106818492875,0.0026849315068493257,142.2,13.349157276772193,11.70105226037385,0.3063169642857143,0.019368196941745373,0.016976973145631704,0.5165643449625105,0.016193091973622613,0.014193870932219146,0.0,0.0,0.0,0.8412946428571428,0.014898613032111804,0.01305921011202437,0.9832589285714286,0.00579927725748507,0.005083290641897225,0.9989131561633364,0.0009455928309716601,0.0008288486608429273,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
full-open,0.1,0.45,deepjscc_pca,5,0.11428571428571425,0.02447226798868883,0.02145088867622971,0.02494231083879194,0.018664662000466275,0.01636029757995912,0.1171875,0.024856090905491172,0.021787324296480285,0.975057689161208,0.018664662000466282,0.01636029757995913,105.0,22.271057451320086,19.52144256964633,0.1703125,0.014913654543294705,0.01307239457788817,0.665033703212935,0.08639486674607279,0.07572843962089189,0.0,0.0,0.0,0.8828125,0.024856090905491172,0.021787324296480285,0.9308035714285715,0.00727589554152082,0.0063776036349870524,0.9125067777233081,0.00975470203736756,0.008550373327477346,0.3883954397912394,0.056139593792256685,0.04920852359589477
full-open,0.1,0.45,dino_detector,5,0.41071428571428575,0.007275895541520808,0.006377603634987042,0.026705921117497762,0.018066405213263963,0.015835902385038604,0.4220982142857143,0.01074562937670615,0.00941895943695479,0.9732940788825022,0.018066405213263956,0.015835902385038597,378.2,9.628083921528727,8.439387655511505,0.47988839285714285,0.009671066439035527,0.008477063493259303,0.8559634241101929,0.01295962674623858,0.011359613696104642,0.0,0.0,0.0,0.5779017857142857,0.010745629376706187,0.009418959436954822,0.9660714285714285,0.009555292318305356,0.008375583002096034,0.9921142245835265,0.0026613896921440267,0.0023328109203705023,0.01746707846096955,0.011691635340677697,0.010248170224838543
full-open,0.1,0.45,ensemble_detector,5,0.3747767857142857,0.016859698750697944,0.014778177534797722,0.0030492751182406358,0.0038918741281005176,0.0034113780832397485,0.37589285714285714,0.016045831550290757,0.0140647914799687,0.9969507248817594,0.0038918741281005038,0.0034113780832397364,336.8,14.377065069060514,12.60205316605195,0.5134821428571428,0.01765041470531981,0.015471270627965546,0.7296562738277023,0.008245832963437278,0.00722779127064288,0.0,0.0,0.0,0.6241071428571427,0.016045831550290733,0.014064791479968678,0.9841517857142856,0.005657942792694892,0.004959405521330146,0.9987831956181228,0.0010340721591764546,0.0009064042114909457,0.0005235602094240838,0.0011707162185862774,0.0010261780104712042
